番号,単　語,品詞,意　味,用　例,チェック
800,job,名,職業、仕事,I want to find a job that needs English.,
801,join,動,～に加わる、参加する,Please join us.,
802,joke,名,冗談、しゃれ ,I have never heard an American joke.,
803,journalist,名,ジャーナリスト,She's a famous journalist. ,
804,joy,名,喜び　　　,She jumped for joy.,
805,judge,動,判断する,Do not judge a person by his clothes.,
806,juice,名,（果物、肉などの）液、ジュース,I usually have toast and juice for breakfast.,
807,July,名,７月,Tanabata festivals are held in July.,
808,jump,動,跳ぶ,He jumped high.,
809,June,名,６月,The rainy season begins in June.,
810,jungle,名,（熱帯地方の）密林、ジャングル,"In the jungle, you can find many birds you have never seen.",
811,junior,形,下位の、年下の　　　※junior high school　中学校,Many junior high school students joined the festival.,
812,junior high school,名,中学校,I'm a junior high school student from Hyogo.,
813,just,副,ちょうど、まさに,"Just then, he entered the bank.",
814,keep,動,"保存する、保つ、ずっと～である 　※keep～ing ～し続る
※keep in touch  連絡をとりあう　 【活用】 keep - kept - kept",Please keep your room clean.,
815,key,名,かぎ、キー,This is the wrong key for this door.,
816,kick,動,蹴る,Soccer players have to run and kick the ball at the same time. ,
817,kid,名,子ども,I love kids.,
818,kill,動,殺す,The tsunami killed many people in Tohoku.,
819,kilogram,名,キログラム,Our dog has got big.  It's now about ten kilograms.,
820,kilometer,名,キロメートル　　,A: How far is the park?  B: About five kilometers.,
821,kind,名・形,"①（形）親切な　　　※That's kind of you.　親切にどうもありがとう
②（名）種類　　　　※～ kind(s) of …  ～種類の…","①She is very kind to me.
②Many kinds of animals and plants live there.",
822,kindly,副,親切に,The man kindly told us the way to the station.,
823,king,名,王,The king was loved by everyone.,
824,kitchen,名,台所、調理場,My mother is in the kitchen.,
825,kite,名,凧,You can see many kites in the New Year's sky.,
826,knee,名,膝,I injured my knee.  I can't move it.,
827,knife,名,ナイフ　　【複数】 knives,Knives are dangerous.  They are not toys.,
828,knock,動・名,（動）ノックする、たたく　（名）（ドア・窓などを）たたく音,Why did you knock at my door?,
829,know,動,知っている、知る　　　【活用】 know - knew - known,You know a lot about Japan.,
830,Korea,名,韓国・朝鮮,I went to Korea with my family.,
831,Korean,名・形,韓国・朝鮮の、韓国・朝鮮人（の）、韓国・朝鮮語（の）,I love Korean food very much.,
832,lady,名,女性、婦人,The lady standing over there is my aunt.,
833,lake,名,湖,Lake Biwa is the largest lake in Japan.,
834,land,名,土地、国,We bought the land to build a house.,
835,language,名,言語、言葉,What languages do people speak in your country?,
836,large,形,（広くて）大きい,What a large building!,
837,last,形,"①（時間的に）この前　
②最後の　※at last 最後には、ついに　","①Last year I visited many places. 
②It's my last wish. ",
838,late,形,（時間・時期が）遅い、遅れた,"Oh, no.  I'm late!",
839,later,副,後で、のちほど、～後　　　※～ year(s)　later ～年後,"Ten years later, he became a teacher.",
840,laugh,動,（声を出して）笑う,They began to laugh when they heard my story.,
841,lawyer,名,弁護士,My brother became a lawyer.,
842,lead ,動,導く、案内する　,I can lead you to Himeji Castle.,
843,leader,名,指導者、リーダー,He will be a good leader in the future.,
844,learn,動,学ぶ、覚える、知る,I want to learn about Hyogo.,
845,least,代・形・副,"（littleの最上級）　最も少ない、最小（の）　　
【活用】 little - less -least　　　※at least 少なくとも",He had the least money of us all.,
846,leave,動,"①去る、出発する　
②残す、置いていく、忘れる　　【活用】 leave - left - left","①I left home around six o'clock.
②I left the textbook at home.",
847,left,副・名,左（へ）、左の方に,Go down this street and turn left at the restaurant. ,
848,leg,名,（人・動物などの）あし、すね,This dog has short legs.,
849,lemon,名,レモン,There are some lemons on that tree.,
850,lend,動,～を貸す,Can you lend me one thousand yen?,
851,lesson,名,授業、レッスン,I take piano lessons twice a week.,
852,let,動,～させる,Let me explain a little.,
853,let's,動,"～しましょう　※Yes, let's.　そうしよう",Let's go shopping.,
854,letter,名,"①文字　
②（ふつう封筒に入った）手紙","①“G” is the third letter of “light”.
②I am writing a letter to my grandmother.",
855,level,名,水平（面）、水位、レベル,We should think about the rising sea levels.,
856,library,名,図書館、図書室,I like to go to the library to read books.,
857,lie,動,横たわる、横になる　【活用】 lie - lay - lain,Some people were lying on the beach.,
858,life,名,生活、一生、命   　　【複数】 lives,My grandmother always enjoys her life.,
859,lifestyle,名,生活様式,We must change our lifestyles to save the earth.,
860,lift,動,持ち上げる,You need a lot of power to lift a mikoshi.,
861,light,名・形,"①（名）光、あかり、電灯　　（動）～に火を付ける、ともす
②（形）軽い","①Please turn on the light.
②This computer is very light.  It is easy to carry.",
862,like,動・前,"①（動）～を好む、～が好きである　　
※would like to ～　～したいと思う
②（前）～のように、～のような
※look like ～ ～のように見える
③（前）～に似ている、～に似た　","①I like English very much.
②Please eat soba noodles like this.
③It looks like a small bear.",
863,line,名,（電車の）路線、電話線,"First, take the JR Kobe Line. Next, get off at Himeji Station. ",
864,lion,名,ライオン,You can see a lot of lions under the tree.,
865,list ,名,名簿、リスト,Please write your name on the list.,
866,listen,動,（じっと）聞く、耳を傾ける  ※listen to～ ～を聞く、～に耳を傾ける,I often enjoy listening to music on the radio.,
867,little,形・副,"①（形）小さい、かわいらしい、幼い  
②（副）※a little～　少し～ ","①We found a little dog under the tree.
②I’m a little busy now.",
868,live,動,住んでいる、生きている,I have lived in Kobe since then.,
869,living room,名,居間、リビングルーム,I go to the living room when I want to watch TV.,
870,local,形,地元の,We want to know more about the local foods in the Tamba area.,
871,lock ,動,かぎを掛ける,Please lock the door when you leave the room.,
872,London,名,ロンドン,London is one of the cities I want to visit.,
873,lonely,形,ひとりぼっちの、さびしい,I felt lonely when I visited America by myself.,
874,long,形・副,長い（く） ※for a long time　長い間,Fireworks have a long history in Japan.,
875,look,動,"①（注意してよく）見る　
②（外見が）～に見える
※look at ～　～を（注意して）見る　look for～　～を探す　
look forward to～ ～を楽しみに待つ 
look like～　～のように見える","①Let's look at two examples.　
②You look happy.",
876,lose,動,"失う、なくす  　※lose a game ゲームに負ける　
【活用】 lose - lost - lost",I lost my umbrella again.,
877,lot,名,※a lot of～又はlots of ～　たくさんの　　a lot　たくさん、とても,I had a lot of fun.,
878,loud,形,（声が）大きい,Our teacher spoke in a loud voice.,
879,loudly,副,大声で,We said goodbye loudly.,
880,love,動・名,愛（する）、～が大好きである   ※I'd love to.　喜んで,I love Japanese food. ,
881,low,形,低い,That wall is very low.,
882,luck,名,幸運、運   　　　　※Good luck!　幸運を,Good luck.,
883,lucky,形,運のよい、幸運な　　　　　,I was lucky to meet my favorite singer.,
884,lunch,名,昼食、弁当,We have lunch at noon.,
885,lunch break,名,昼休み,We sometimes play tennis during lunch break.,
886,machine,名,機械,Robots are machines.,
887,magazine,名,雑誌,We collect newspapers and magazines for recycling.,
888,magic,名,魔法、ふしぎな力,I'm interested in magic.,
889,mailbox,名,郵便ポスト、郵便受け,Could you get the letters from the mail box?,
890,main,形,主な、主要な,I have two main reasons. ,
891,major,形,（他と比べて）大きな、主要な、重要な,Some major sports events will be held in Hyogo.,
892,make,動,"①作る　　　　　　　　　【活用】 make - made - made
②～を…にする　　　
※be made from（of） ～　　～から作られている","①Our everyday actions can make the world cleaner.
②This song always makes me happy.",
893,maker,名,制作者,The violin was made by a famous violin maker.,
894,Malaysia,名,マレーシア,I have never been to Malaysia.,
895,man,名,（大人の）男性、男（の人）    【複数】 men,Who's that man?  I don't know him. ,
896,manager,名,経営者、園長,I'm the manager of this zoo.,
897,manner,名,行儀、マナー,"In our culture, it is bad manners to use your hands when you eat.",
898,many,名・代・形,多く（の）、たくさん（の）　　【活用】 many - more - most,Last year I visited many places. ,
899,map,名,地図,Please find the country on this map.,
900,March,名,３月,March is the end of the school year in Japan.,
901,mark,名,印、マーク,Have you ever seen this mark?,
902,market,名,市、市場,I'll go to the market to get some fresh fish.,
903,married,形,結婚している,She is married to her old friend.,
904,marry,動,結婚する,My mother married when she was 25 years old.,
905,mask,名,お面、マスク,People wear face masks in Japan when they have a cold.,
906,master,名,主人,I am the master of this house.,
907,match,名,試合,I didn't win my kendo match yesterday.,
908,material,名,材料、原料,What materials do you need to make this doll?,
909,math,名,数学（mathematicsを短くした形）,Can you help me with math homework?,
910,matter,名,事柄、困ったこと　　※What's the matter?　どうしたのですか,What's the matter?,
911,May,名,５月,I was born in May.,
912,may,助,"①～してもよい　
②～かもしれない、たぶん～だろう 
※May I ～?　～してもよいですか　　May I help you?　 いらっしゃいませ","①May I speak to Paul, please?
②We may have some rain tomorrow.",
913,maybe,副,たぶん、もしかすると,Maybe I will go with you.,
914,me,代,"私を、私に　　　※Me, too. 私も",Could you ask him to call me back? ,
915,meal,名,食事,Communication during meal time is very important.,
916,mean,動,意味する、～の意味である  【活用】mean - meant - meant,What does this word mean?,
917,meaning,名,意味,A word often has many meanings.,
918,meat,名,肉,I like fish better than meat.,
919,medal,名,メダル,I got the gold medal in a soccer tournament last fall.,
920,media,名,マスメディア、媒体,He gets a lot of attention from the media.,
921,medical,形,医学の,There are some medical books in the library.,
922,medicine,名,薬、医薬,The doctor gave me some medicine.,
923,medium,名・形,中間（の）,A: What size T-shirt do you wear?  B: Medium.,
924,meet,動,"会う、出会う　　※Nice to meet you.　はじめまして 
【活用】 meet - met - met",She wants to meet her British friend.,
925,meeting,名,集まり、会議,There is no club meeting after school today.,
926,melt,動,とける,The ice is melting under the sun.,
927,member,名,会員、メンバー,He's a member of a basketball team. ,
928,memory,名,思い出、記憶,I have good memories of my stay in Australia.,
929,menu,名,献立表、メニュー,There are many restaurants with English menus.,
930,merit,名,長所、よい点,What are the merits of this book?,
931,message,名,"伝えたいこと、メッセージ、伝言　　
※leave(take) a message 伝言を残す（受け取る）","Will you give him a message, please? ",
932,meter,名,メートル,I ran about 100 meters to catch the bus.,
933,middle,名,真ん中、中間　　　,The festival was held in the middle of October.,
934,midnight,名,夜の１２時,I woke up at midnight.,
935,milk,名,牛乳、ミルク,I often have milk for breakfast.,
936,million,名・形,１００万（の）,Over five million people live in Hyogo.,
937,mind,名,心　　　※keep ～ in mind  　～を心にとめておく,I will keep this story in mind.,
938,mine,代,私のもの　　　　　※a friend of mine 私の友人（の１人）,That book is mine.,
939,minute,名,"①（時間の）分　
②ちょっとの間　　※Just a minute.　ちょっと待って","In ten minutes, the door will open.",
940,mirror,名,鏡,I looked in the mirror to check my face.,
941,miss,動,"①（機会などを）逃す、（乗り物に）乗り遅れる
②～がいなくてさみしい","①I missed the bus this morning.
②I really miss you.",
942,mistake,名,誤り、間違い　   ※make a mistake　間違う,I think you made a mistake.,
943,mix,動,混ぜる,"What color do you get, if you mix green and red?",
944,model,名,模型,"Like many young boys, he likes to build model cars.",
945,mom,名,ママ、お母さん,"Mom, what time is it now? ",
946,moment,名,瞬間　　　※Just a moment.  ちょと待ってください,That was the best moment in my life.,
947,Monday,名,月曜日,We have a meeting on Monday.,
948,money,名,お金,I need money to buy new DVDs.,
949,monkey,名,サル,I saw monkeys in the zoo.,
950,month,名,月、ひと月（間）,He stayed there for one month.,
951,moon,名,（天体の）月,The moon will be beautiful tonight.,
952,more,形・副,"（more ～で）もっと～、もっと多く（many, muchの比較級） 　
※more than ～　～以上に　",Toyooka had more snow this year than last year.,
952,more,名・代,もっと多くの物（人・事・量）,Could you tell me more?,
953,morning,名,朝、午前　　　※Good morning.　おはよう,"Good morning, Mr. Tanaka.",
954,most,形・副,"（しばしば the most ～で）最も～、最も多く（many, muchの最上級）",Baseball is one of the most popular sports in Japan.,
954,most,名・代,大部分、たいてい　　※most of ～　～の大部分,Most of us agreed with this plan.,
955,mother,名,母、母親,This is my mother.  ,
956,mountain,名,山,Mt. Rokko is a famous mountain in Hyogo.,
957,mouse,名,ネズミ,Mickey is the most famous mouse in the world.,
958,mouth,名,口,Open your mouth.,
959,move,動,"①動く、移動する　
②（心を）動かす、感動させる","①She was so tired that she could not move.
②I was moved by the speech.",
960,movement,名,動き、（社会的）運動,There was a big movement against war.,
961,movie,名,映画,I like watching movies in English.,
962,movie theater,名,映画館,The movie theater is next to the bank.,
963,Mr.,名,（男性への敬称） ～さん、～先生,Mr. Tanaka is my English teacher.,
964,Mrs.,名,（結婚している女性への敬称）～婦人、～さん、～先生,Mrs. Walker is our English teacher.,
965,Ms.,名,（女性への敬称） ～さん、～先生,Ms. Saito is my math teacher.,
966,Mt.,名,～山（山の名の前につける）,Mt. Hachibuse is good for skiing in winter.,
967,much,形・副,多量の、たくさんの　　【活用】 much - more - most,I don't have much money.,
967,much,名・代,多量、たくさん,I don't know much about the history of Hyogo prefecture.,
968,museum,名,博物館、美術館,Hyogo has many wonderful museums.,
969,music,名,音楽,Listen to this music.,
970,musician,名,音楽家,Who's your favorite musician? ,
971,must,助,"①しなければならない　
②～にちがいない","①We must respect each other. 
②She must be a famous singer.",
972,my,代,私の,Key please.  My room number is 345.,
973,myself,代,私自身　　　※by myself  　自分で、ひとり（ぼっち）で,I want to talk about myself.,
974,mysterious,形,神秘的な,This is the most mysterious place in the world.,
975,mystery,名,謎,My hobby is reading mystery books.,
976,nail,名,つめ,You should cut your nails.  ,
977,name,動・名,名前（を付ける）,Do you know the name of this musician?,
978,narrow,形,（幅が）狭い,This road is narrow.,
979,nation ,名,国家,There was a war between the two nations.,
980,national,形,国家の、国立の             　　　　　　　　 ※national park 国立公園,Hyogo has San'in Kaigan National Park.  It is beautiful.,
981,national holiday,名,国民の祝日,Children's Day is a national holiday.,
982,native,形,その土地に生まれ育った,You should ask native people about the town.,
983,natural,形,自然の,We had a big natural disaster last month.,
984,nature,名,自然,We love nature.,
985,near,前,～の近くに（の）,They walked on the beach near the hotel.,
986,necessary,形,必要な,Sleeping is necessary for good health.,
987,neck,名,首,What is the animal with a long neck?,
988,need,動・名,"①（動）～する必要がある　　※need to ～　～する必要がある　　　
②（名）必要、必要性 　　 ※in need  必要で、困って","①We need water to live.
②He felt the need to sleep.",
989,neighbor,名,近所の人、隣人,Our neighbors invited us to their party.,
990,neighborhood,名,近隣（の人々）,I like living in this neighborhood.,
991,nervous,形,神経質な、緊張して,What made him nervous?,
992,net,名,網、ネット,They caught fish with nets.,
993,never,副,決して～ない、まだ一度も～ない,I've never felt like this before. ,
994,new,形,新しい,I bought a new bike yesterday.,
995,New Year,名,新年,Rice cake (mochi) is made for the New Year.,
996,New Year's Day,名,元旦,Japanese people visit shrines on New Year's Day.,
997,New Year's Eve,名,おおみそか（の夜）,Japanese people eat special soba on New Year's Eve.,
998,New York,名,ニューヨーク,New York is a very big city. ,
999,New Zealand,名,ニュージランド,I have been to New Zealand twice.,
1000,news,名,報道、ニュース,I use the Internet to read and watch English news.,
1001,newspaper,名,新聞,My mother reads the newspaper every morning.,
1002,next,形・副,次の（に）、となりの（に）　※next to～　～のとなりに,We'll have an exam next week.,
1003,nice,形,すてきな、すばらしい　※Nice to meet you. はじめまして,This is a nice picture.,
1004,night,名,夜、晩　　※Good night.　おやすみなさい  ,Are you free on Saturday night?  ,
1005,nine,名・形,９（の）,The nine children will dance together.,
1006,nineteen,名・形,１９（の）,My brother will be nineteen years old next month.,
1007,nineteenth,名・形,１９番目（の）,The room is on the nineteenth floor.,
1008,ninety,名・形,９０（の）,My grandmother is ninety years old.,
1009,ninth,名・形,９番目（の）,I am in the ninth grade.,
1010,no,形・副,"①いいえ　
②何も～ない","①A: Is this your book?  B: No, it isn't.
②There was no water in the glass.",
1011,nobody,代,だれも～ない,Nobody can answer this question.,
1012,noisy,形,さわがしい、うるさい,Don't be too noisy in the classroom.,
1013,noodle,名,麺,Japanese people like noodles.,
1014,noon,名,正午、昼の１２時　　　　,Lunch time starts at noon.,
1015,normal,形,普通の,It's softer than a normal tennis ball.,
1016,north,名・形・副,北（の、へ）、北方,North is at the top on a map.,
1017,nose,名,鼻,An elephant has a long nose.,
1018,not,副,～でない、～しない,He is not a teacher.,
1019,note ,名,メモ、手帳　　※make(take) a note　メモをとる、書き留める,You should take some notes when you listen.,
1020,notebook,名,ノート、手帳,Don't forget to bring your notebooks.,
1021,nothing,名・代,何も～ない,They could do nothing to save their forest. ,
1022,notice,動,気付く,I didn't notice the sign.,
1023,novel,名,小説,I am interested in French novels.,
1024,November,名,１１月,We have our school festival in November.,
1025,now,副・名,今（は）、現在（は）,Now I am watching TV.,
1026,number,名,数、（電話）番号,My phone number is 1234-5678. ,
1027,nurse,名,看護師、保健の先生　　※go to the nurse  保健の先生の所へ行く,You don't look well.  Let's go to the nurse.,
1028,nursery,名,保育園（＝nursery school),I want to be a nursery school teacher.,
1029,occupation,名,職業,May I ask your occupation?,
1030,ocean,名,大洋、海,Fish live in the ocean.,
1031,o'clock,副,～時,It's eight o'clock.,
1032,October,名,１０月,October is the best month to enjoy sports in Japan.,
1033,octopus,名,タコ,Akashi city is very famous for octopuses.,
1034,of,前,"①（所有・所属）～の　
②（部分・中身）～の　
③（内容）～のこと、～について
④（同格）A of B 　BというA　　
⑤（中身）～の（入った）","①I want to learn about the cultures of different countries.
②Many of the students enjoyed his English class.
③I often think of war and peace.
④We love the city of Kobe.
⑤My mother gave me a cup of tea.",
1035,off,副,（場所）を離れて、（物を）離して,Please take off your shoes here.,
1036,office,名,事務所,Please come to the office on the third floor.,
1037,officer,名,係員、役人　　※police officer 警察官,I asked an officer the way to the station.,
1038,official,名・形,"①（名）係官、職員
②（形）公式の","①I am a government official.
②He got an official letter from his school.",
1039,often,副,しばしば、たびたび,I often go skiing in winter.,
1040,oh,間,おお、まあ、おや、あら,"Oh, you are here!",
1041,oil,名,油、石油,This machine needs oil.,
1042,OK,形・間,よろしい、オーケー　　　　　※It's OK.  いいんですよ,OK.  I will help you.,
1043,old,形,古い、～歳で,There is an old tree in the garden.,
1044,Olympics,名,国際オリンピック競技会、オリンピック,I want to attend the Olympics in the future.,
1045,on,前・副,"①（時間）～に　
②（接触）～の上に　
③（状態）～で　
④（手段・道具）～で　
⑤（位置）～に面して　
⑥（関連）～について、～に関する　
⑦（所属）～に属して、～の一員で　
⑧身に付けて　 ※try on ～　～を試着する　
※～and so on　～など　　　","①I was born on July 22.
②Please put your hands on the desk.
③I was on a bus at that time.
④We can talk on the Internet.
⑤You will see a big tree on your left.
⑥I need information on animals.
⑦I play on the soccer team.
⑧I like this shirt.  May I try it on?",
1046,once,接・副,"①（接）いったん～したからには　　　　　　　　
②（副）１度、１回、かつて      ※at once  すぐに","①Once you start playing games, you can't stop.
②I have visited London once.",
1047,one,名・代・形,１つ（の）、人、それ、ある～,How about this one?,
1048,onion,名,タマネギ,Awaji Island is famous for onions.,
1049,only,形・副,たった、～だけ,He was only 14 years old.,
1050,open,動・形,"①（動）（ドア・窓などが）開く、あける　　　
②（形）開いている","①I can't open the door.
②The door is open.",
1051,opinion,名,意見、考え　　　　　　　　　　※in my opinion  私の意見では,Do you have your own opinion?,
1052,or,接,または、あるいは,"Which do you want, beef or chicken?",
1053,orange,名・形,オレンジ（がかった色の）,"Can I have another glass of orange juice, please?",
1054,orchestra,名,オーケストラ,I've always wanted to play in an orchestra.,
1055,order,動・名,注文（する）、命じる,Are you ready to order?,
1056,original,形,独自の,Each restaurant has its own original menu.,
1057,originally,副,もともとは、本来は,It originally comes from China.,
1058,other,代・形,他の（もの）,I like cats better than other animals.,
1059,our,代,私たちの、われわれの,Ms. Yamada is our teacher.,
1060,ours,代,私たちのもの,That house is bigger than ours.,
1061,ourselves,代,私たちを（に）,We should believe in ourselves and try our best.,
1062,out,副,外へ（で）、外を,Get out of here!,
1063,outside,副,外へ（で）,"When you go outside, take your umbrella with you.",
1064,over,前・副,"①（越えて）向こうへ、渡って
②～以上で（の）
③～の一面に
④～の上に、～の上を　　
※over there 向こうに　all over the world 世界中に（で）","①The book you want to read is over there.
②Over 300 students joined club activities last year.
③The song is sung all over the world.
④A terrible bomb was dropped over Hiroshima.",
1065,overseas,副,海外へ、外国へ,Japanese anime goes overseas.,
1066,own,形,自分(自身)の,I saw it with my own eyes.,
1067,owner,名,持ち主、飼い主,Guide dogs help their owners to walk safely.,
1068,pack,名,１パック、１箱　　※a pack of ～　パック１箱（の量）の～,"I want two lemons and two packs of tomatoes, please. ",
1069,page,名,（本、新聞などの）面、欄、ページ,This newspaper has a page for children.,
1070,pain,名,痛み,I have a pain in my leg.,
1071,paint,動,（絵の具で）かく、いろどる,She can paint pictures very well.,
1072,painter,名,画家,Who is your favorite painter?,
1073,painting,名,（絵の具で）かくこと、絵,The book has many of paintings from Europe.,
1074,pair,名,１組、１対　　　※ a pair of ～　　１足の～、１組の～,I’m looking for a pair of sneakers.,
1075,pale,形,顔色の悪い,You look pale.  Are you OK?,
1076,panda,名,パンダ,You can see a panda in Oji Zoo in Kobe.,
1077,paper,名,紙,I need a piece of paper to take notes.,
1078,Paralympics,名,パラリンピック,We will have the Paralympics in Tokyo in 2020. ,
1079,pardon,動・名,※Pardon?　（最後を上げて発音して）すみませんがもう一度言ってください,"Pardon?  Sorry, I couldn't hear what you said.",
1080,parent,名,親（父または母、parentsで両親）,My parents are very nice.,
1081,Paris,名,パリ,Paris is the capital of France.,
1082,park,名,公園、遊園地　　　　　　　　　　※national park 国立公園,My brother likes playing in the park near my house.,
1083,part,名,"①部分　
②役割、役目　　 
※ play a part 　役割を果たす　take part in～　～に参加する","①Music is a part of my life.
②He played an important part.",
1084,partner,名,仲間、パートナー,Check the answers with your partner.,
1085,party,名,パーティ、（社交の）会,My friends and I had an ohanami party.,
1086,pass,動,渡す、通り過ぎる,Ten years have passed since he left.,
1087,passenger,名,乗客,There were a lot of passengers on the train.,
1088,passion,名,熱中（しているもの）、情熱,He has a passion for music.,
1089,passport,名,旅券、パスポート,"Show me your passport, please.",
1090,past,名・形,過去（の）,We can learn from past experiences.,
1091,patient,名・形,"①（名）患者、病人
②（形）我慢強い","①Nurses take care of their patients every day.
②Be patient.",
1092,pay,動,支払う、払う,You must pay fifteen dollars for the tour.,
1093,P.E. (PE),名,体育（physical educationの略）,She especially liked her PE class.,
1094,peace,名,平和,I am going to talk about war and peace.,
1095,peach,名,モモ,I want two lemons and three peaches.,
1096,pen,名,ペン,May I use your pen?,
1097,pencil,名,鉛筆,May I use your pencil?,
1098,people,名,人々、国民,Many people visit shrines on New Year's Day.,
1099,percent,名,パーセント,Seventy percent of the students come to school by bike.,
1100,perfect,形,完全な、申し分ない,His answer was perfect.,
1101,perform,動,演じる、演奏する,Our class performed very well at the school festival.,
1102,performance,名,上演、演奏、演技,His rakugo performance was wonderful.,
1103,period,名,期間、時代,The castle was built in the Edo Period.,
1104,person,名,人,He is a nice person.,
1105,personal,形,個人的な、個人の,"In Japan, we call a personal computer “pasokon”.",
1106,personal computer,名,パソコン,This personal computer is easy to carry.,
1107,pet,名,ペット,Do you have any pets?,
1108,phone,名,電話（機）（telephoneを短くした形）,My mother is talking on the phone.,
1109,phone call,名,電話（をかけること）,I received a phone call from my homeroom teacher.,
1110,phone number,名,電話番号,Do you know his phone number? ,
1111,photo,名,写真（photographを短くした形）,This is a photo of my family.,
1112,photograph,動・名,写真（を撮る）,A photograph in the book caught his attention.,
1113,photographer,名,写真家、カメラマン,My father is a good photographer.,
1114,phrase,名,言葉遣い、表現,“Excuse me” is the phrase we use in this case.,
1115,pianist,名,ピアニスト,He is a good pianist.,
1116,piano,名,ピアノ,She plays the piano very well.,
1117,pick,動,取り上げる、拾い上げる　　※pick up　拾い上げる,We picked up a lot of cans as volunteer work.,
1118,picnic,名,ピクニック、行楽,I often eat onigiri on picnics.,
1119,picture,名,写真、絵　　※take a picture 写真を撮る,This is a nice picture.,
1120,piece,名,"断片、破片     
※a piece of ～　１枚（片、個の）～",He collected pieces of wood.,
1121,pilot,名,（飛行機の）操縦士、パイロット,I want to be a pilot in the future.,
1122,pink,名・形,ピンク色（の）,Pink is my favorite color.,
1123,pizza,名,ピザ,Pizza is one of my favorite foods.,
1124,place,名,場所、所,Takeda Castle is a good place to visit.,
1125,plan,動・名,（動）計画する、～するつもりである　　（名）計画、案、考え,What's your plan for this weekend?,
1126,plane,名,飛行機,It took fourteen hours by plane.,
1127,planet,名,惑星,We have to think what we can do to save our planet. ,
1128,plant,動・名,"①（名）植物、草木
②（動）～を植える","①There are many kinds of plants in the forest.
②We planted a cherry tree in our garden.",
1129,plastic,名・形,プラスチック（の)、ビニール（の）       ※plastic bag   ビニール袋,This chair is made of plastic.,
1130,plate,名,皿、取り皿,He ate twenty plates of sushi at the sushi restaurant.,
1131,play,動,"①（スポーツ・ゲームなどを）する　
②（楽器を）演奏する　
③遊ぶ　
④（役を）演じる、果たす","①Let's play tennis.
②My teacher can play the guitar very well.
③Children learn a lot from playing.
④I played the part of a doctor in the drama.",
1132,player,名,（運動）選手、（楽器の）演奏者,He is a very good baseball player.,
1133,please,副・間,どうぞ、すみませんが,Please come in.,
1134,p.m.,副,午後,I will meet her at 2:00 p.m..,
1135,pocket,名,ポケット,I put candies in my pocket.,
1136,poem,名,詩,The poem was written in English.,
1137,point,動・名,"①（名）点、大切な点
②（動）～を指し示す","①That is a good point.
②The teacher pointed to a picture on the wall.",
1138,police,名,警察、警察官たち     ※　police station  警察署,I will call the police.,
1139,police station,名,警察署,The police station is next to the bank.,
1140,polite,形,ていねいな、礼儀正しい,You should be polite to other people.,
1141,pollution,名,汚染,What kind of pollution do those factories produce?,
1142,pool,名,プール,There is a big swimming pool at our school.,
1143,poor,形,貧しい、へたな,There are many poor children in the world.,
1144,popular,形,人気のある、流行の,Who is a popular singer in America?,
1145,population,名,人口,The population of Hyogo is over five million.,
1146,positive,形,積極的な、肯定的な、前向きな,I like your positive way of thinking.,
1147,possible,形,可能な、実行できる,It is possible to get there by 11 o'clock.,
1148,post,名,郵便,My uncle sent me a book by post.,
1149,post office,名,郵便局,You will find the post office on your left.,
1150,postcard,名,郵便はがき、絵はがき,I need to get a postcard to send to my grandmother.,
1151,poster,名,ポスター,We made a big poster for the event.,
1152,pot,名,つぼ、なべ,"First, put some water into the pot.",
1153,potato,名,ジャガイモ,How many potatoes do you want?,
1154,power,名,力、エネルギー,Wind power and solar power are clean energy.,
1155,powerful,形,力強い、迫力のある,His words are very powerful.,
1156,practice,動・名,練習（する）,He practiced very hard.,
1157,prefecture,名,県,Hyogo prefecture is in the center of Japan.,
1158,prefer,動,（～のほうを）好む　　　,E-mails are popular than letters.  But I prefer letters.,
1159,prepare,動,準備をする  　　※prepare for ～　～に備えて準備する,I have to prepare for the school trip.,
1160,present,名,贈り物、プレゼント,My sister gave me a birthday present.,
1161,pretty,形・副,"①（形）（小さくて）かわいい、きれいな
②（副）かなり","①I gave her a pretty flower.
②Pretty good!",
1162,price,名,価格、値段　　※at low price　低価格で,Coffee is sold at a low price.,
1163,print,動・名,印刷（する）　　,Do you use a printed dictionary?,
1164,prize,名,賞、ほうび、賞品,Our team won the first prize at the tournament.,
1165,problem,名,問題、課題　　　※No problem. 大丈夫です,I'm going to share the problem with you.,
1166,produce,動,～を生ずる、生産する,Toyooka produces good bags.,
1167,product,名,製品、生産物,I want to buy this new product.,
1168,professional,形,専門（職）の、プロの,Playing in a professional baseball team was his dream.,
1169,program,名,番組（表）、計画、プログラム,What is your favorite TV program?,
1170,programmer,名,プログラマー,I want to be a programmer.,
1171,project,名,計画、企画,We're now working on a project in our science class.,
1172,promise,動・名,約束（する）,I broke my promise.,
1173,protect,動,保護する、守る,Protect yourself in an emergency.,
1174,proud,形,～を誇りに思う　　　※be proud of～　～を誇りに思う,You should be proud of yourself.,
1175,public,形,公の、公共の,Parks and libraries are public places.,
1176,pull,動,引く　　,I saw many men pulling a danjiri around the town.,
1177,purple,名・形,紫色（の）,Sometimes the sky looks purple.,
1178,purpose,名,目的、つもり,What's the purpose of your visit?,
1179,push,動,押す,Please push this button.,
1180,put,動,置く、つける　※put on～　～を身に付ける　【活用】 put - put - put,Put the textbook on the desk.,
